100
30 0 96 -16 2 0
45 0 112 -16 2 0
60 0 100 -16 2 0
75 0 116 -16 2 0
90 0 104 -16 2 0
105 0 120 -16 2 0
120 0 108 -16 2 0
135 0 124 -16 2 0
150 0 112 -16 2 0
165 0 128 -16 2 0
180 0 288 -16 -2 0
195 0 276 -16 -2 0
210 0 284 -16 -2 0
225 0 272 -16 -2 0
240 0 280 -16 -2 0
255 0 268 -16 -2 0
270 0 276 -16 -2 0
285 0 264 -16 -2 0
300 0 272 -16 -2 0
315 0 260 -16 -2 0
360 2 -16 12 2 40
380 2 -16 24 2 40
400 2 -16 36 2 40
420 2 -16 48 2 40
440 2 -16 60 2 40
460 2 400 72 -2 40
480 2 400 84 -2 40
500 2 400 96 -2 40
520 2 400 108 -2 40
540 2 400 120 -2 40
560 2 -16 72 2 40
580 2 -16 84 2 40
600 2 -16 96 2 40
620 2 -16 108 2 40
640 2 -16 120 2 40
660 2 400 12 -2 40
680 2 400 24 -2 40
700 2 400 36 -2 40
720 2 400 48 -2 40
740 2 400 60 -2 40
800 3 64 -16 4 90
820 3 128 -16 4 90
840 3 192 -16 4 90
860 3 256 -16 4 90
880 3 320 -16 4 90
1000 3 320 -16 4 90
1010 3 256 -16 4 90
1020 3 192 -16 4 90
1030 3 128 -16 4 90
1040 3 64 -16 4 90
1200 3 192 -16 4 150
1210 3 192 -16 4 120
1220 3 192 -16 4 90
1230 3 192 -16 4 60
1240 3 192 -16 4 30
1300 3 192 -16 4 30
1310 3 192 -16 4 60
1320 3 192 -16 4 90
1330 3 192 -16 4 120
1340 3 192 -16 4 150
1550 4 130 -16 2 80
1700 4 280 -16 2 120
1850 4 180 -16 2 130
1900 4 240 -16 2 90
1950 4 -16 40 2 0
1950 4 400 40 2 180
2000 4 16 -16 2 45
2000 4 368 -16 2 135
2000 4 176 -16 2 90
2000 4 208 -16 2 90
2100 1 192 -16 -1 0
2100 1 192 -16 1 0
2120 1 -16 -16 1 0
2120 1 400 -16 -1 0
2300 5 192 3 30 8 
2420 5 96 4 -45 10
2420 5 288 4 45 10
2500 6 -16 32 1 2
2520 6 -16 56 1 2
2540 6 -16 80 1 2
2560 6 -16 104 1 2
2580 6 -16 128 1 2
2600 6 400 32 1.5 2
2620 6 400 56 1.5 2
2640 6 400 80 1.5 2
2660 6 400 104 1.5 2
2680 6 400 128 1.5 2
2800 7 -16 32 4 16
2820 7 -16 56 4 16
2840 7 -16 80 4 16
2860 7 -16 104 4 16
2880 7 -16 128 4 16
2900 7 400 32 4 16
2920 7 400 56 4 16
2940 7 400 80 4 16
2960 7 400 104 4 16
2980 7 400 128 4 16
3100 8 0 0 0 0
3200 9 0 0 0 0
3300 10 0 0 0 0
